trial,subject,cadence_spm,n_steps,rot0_step_count_match,rot0_alternation_delta,rot1_step_count_match,rot1_alternation_delta,rot2_step_count_match,rot2_alternation_delta,max_rotation_cadence_delta_spm,cadence_at_25Hz,rel_err_at_25Hz,cadence_at_100Hz,rel_err_at_100Hz,cadence_at_200Hz,rel_err_at_200Hz
jog_9,19,160.89653792275365,136,True,0.0,True,0.0,True,0.0,0.0,160.9287429943955,0.00020016012810233317,160.89653792275365,0.0,160.9206905178884,0.0001501125844382485
jog_9,20,172.72614468296314,235,True,0.0,True,0.0,True,0.0,0.0,172.70471464019852,0.00012406947890810272,172.6725795447497,0.0003101159833778911,172.68328991440265,0.0002481081751644938
jog_9,21,158.80322209436133,282,True,0.0,True,0.0,True,0.0,0.0,158.79992356201032,2.077119284802931e-05,158.7956081890972,4.794553387335062e-05,158.79560818909718,4.7945533873529595e-05
jog_9,22,167.50629722921914,268,True,0.0,True,0.0,True,0.0,0.0,167.5414654629435,0.0002099517111063479,167.5150879034374,5.247966413006987e-05,167.50629722921914,0.0
jog_9,23,173.47580138277812,278,True,0.0,True,0.0,True,0.0,0.0,173.42863149043515,0.0002719105026002031,173.4377463604352,0.00021936790053471244,173.4195175784329,0.00032444758229432675
jog_9,24,175.8957654723127,164,True,0.0,True,0.0,True,0.0,0.0,175.89576547231272,1.6158268139137094e-16,175.86394065496654,0.00018092998009754737,175.8798516239935,9.047317470360542e-05
jog_16,1,163.96761133603238,84,True,0.0,True,0.0,True,0.0,0.0,163.9676113360324,1.7333733899530346e-16,163.96761133603238,0.0,163.98144242935473,8.435259384249377e-05
jog_16,2,162.50439676398176,79,True,0.0,True,0.0,True,0.0,0.0,162.56157635467977,0.00035186488388409175,162.45101531884572,0.00032849231281766554,162.4076217611967,0.0005955223656231622
jog_16,3,168.4389621437686,68,True,0.0,True,0.0,True,0.0,0.0,168.51063829787233,0.00042553191489359246,168.51063829787233,0.00042553191489359246,168.28478964401293,0.0009153018861757322
jog_16,4,151.89873417721518,46,True,0.0,True,0.0,True,0.0,0.0,152.24913494809692,0.0023068050749715098,152.0329994107248,0.0008839127872717801,152.30224321133414,0.002656434474616544
jog_16,5,173.11752287121743,43,True,0.0,True,0.0,True,0.0,0.0,173.23943661971833,0.0007042253521129307,173.05663032008442,0.00035174111853660613,172.99578059071732,0.000703234880449851
jog_16,6,152.03299941072487,45,True,0.0,True,0.0,True,0.0,0.0,151.80722891566265,0.0014850098066689508,152.077807250221,0.0002947244326548708,151.85296776137392,0.0011841616625913342
jog_16,7,163.1265930331351,69,True,0.0,True,0.0,True,0.0,0.0,163.1265930331351,0.0,163.1265930331351,0.0,163.1628490743646,0.00022225708607879926
jog_16,8,155.62447138426836,95,True,0.0,True,0.0,True,0.0,0.0,155.66835871404402,0.00028200789622147873,155.646411955449,0.00014098406880020978,155.646411955449,0.00014098406880020978
jog_16,9,157.58176412289396,55,True,0.0,True,0.0,True,0.0,0.0,157.89473684210526,0.001986097318768579,157.50371471025255,0.0004952947003470325,157.97317436661703,0.0024838549428715727
jog_16,10,182.8524989841528,79,True,0.0,True,0.0,True,0.0,0.0,182.9268292682927,0.0004065040650406765,183.0173124484748,0.0009013465237699199,182.9607499742454,0.0005920126369287183
jog_16,11,161.4035087719298,50,True,0.0,True,0.0,True,0.0,0.0,161.4035087719298,0.0,161.24216183935505,0.0009996494735610053,161.14592658907785,0.001595889611148027
jog_16,12,166.01815823605705,66,True,0.0,True,0.0,True,0.0,0.0,166.24040920716112,0.001338714833759698,166.27584736729906,0.0015521743764655889,165.89861751152074,0.0007200460829491627
jog_16,13,164.93775933609956,55,True,0.0,True,0.0,True,0.0,0.0,164.93775933609965,5.169533564322541e-16,164.8612945838838,0.00046359761720756284,164.90486257928117,0.0001994495193265815
jog_16,14,158.578856152513,63,True,0.0,True,0.0,True,0.0,0.0,158.57885615251303,1.7922761028790287e-16,158.40727115343,0.0010820168794632593,158.4587076523433,0.0007576577551685231
jog_16,15,170.54986020503262,65,True,0.0,True,0.0,True,0.0,0.0,170.0743494423792,0.0027881040892191985,170.54986020503262,0.0,170.79824457359737,0.0014563739206010075
jog_16,16,154.2319749216301,84,True,0.0,True,0.0,True,0.0,0.0,154.2649727767695,0.00021394950791602348,154.32290052680506,0.00058953796851244,154.2682448851611,0.00023516500744691783
jog_16,17,165.84766584766584,50,True,0.0,True,0.0,True,0.0,0.0,165.84766584766584,0.0,165.72504708097927,0.0007393457487619925,165.80310880829015,0.00026866244482823184
jog_16,18,181.22448979591837,76,True,0.0,True,0.0,True,0.0,0.0,181.22448979591837,0.0,181.26148193508877,0.00020412329046726424,181.08527131782944,0.0007682100705357909
jog_16,19,162.79069767441862,65,True,0.0,True,0.0,True,0.0,0.0,162.79069767441857,3.491810015735349e-16,162.7206198880757,0.00043047783039222863,162.80822655324647,0.0001076773985139141
jog_16,20,168.94609814963792,74,True,0.0,True,0.0,True,0.0,0.0,168.97959183673467,0.0001982507288631503,168.91212547757888,0.00020108586366372454,169.01408450704224,0.00040241448692177544
jog_16,21,158.8296760710554,81,True,0.0,True,0.0,True,0.0,0.0,158.77437325905294,0.0003481894150417545,158.91270256142187,0.0005227391531626302,158.91270256142187,0.0005227391531626302
jog_16,22,165.13761467889907,80,True,0.0,True,0.0,True,0.0,0.0,165.0211565585331,0.0007052186177716604,165.10848474157697,0.000176397953783807,165.09392362642205,0.0002645735955552608
jog_16,23,178.63894139886582,65,True,0.0,True,0.0,True,0.0,0.0,178.5028790786948,0.0007616610303753458,178.5545583372697,0.00047236655644816657,178.61783815711755,0.00011813349084485989
jog_16,24,174.39446366782008,44,True,0.0,True,0.0,True,0.0,0.0,173.97454031117397,0.0024078938506096326,173.97454031117397,0.0024078938506096326,173.943786459254,0.0025842403427697672
